identifier,RWS,transportType,accessAllowed,openingHours,permitRequired,bookingRequired,bookingURL,maxHeight,maxLength,maxWidth,maxWeight,trailerCombinedWith,dateUpdated
open3r-trans-eng-dev-devt0000138,hwrc-eng-dev-cb3309me,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000139,hwrc-eng-dev-cb3309me,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000140,hwrc-eng-dev-cb3309me,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-dev-devt0000141,hwrc-eng-dev-hp3491hn,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-dev-devt0000142,hwrc-eng-dev-hp3491hn,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
open3r-trans-eng-dev-devt0000143,hwrc-eng-dev-hp3491hn,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000144,hwrc-eng-dev-hp3491hn,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000145,hwrc-eng-dev-hp3491hn,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-dev-devt0000146,hwrc-eng-dev-pp3591hp,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-dev-devt0000147,hwrc-eng-dev-pp3591hp,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
open3r-trans-eng-dev-devt0000148,hwrc-eng-dev-pp3591hp,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000149,hwrc-eng-dev-pp3591hp,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000150,hwrc-eng-dev-pp3591hp,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-dev-devt0000151,hwrc-eng-dev-hp3991hp,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-dev-devt0000152,hwrc-eng-dev-hp3991hp,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
open3r-trans-eng-dev-devt0000153,hwrc-eng-dev-hp3991hp,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
