identifier,HWRC,transportType,accessAllowed,openingHours,permitRequired,bookingRequired,bookingURL,maxHeight,maxLength,maxWidth,maxWeight,trailerCombinedWith,dateUpdated
,hwrc-eng-dev-jp3691hd,hwrc-trans-01,1,,,0,https://www.eventbrite.co.uk/e/brunel-road-hwrc-van-booking-free-service-tickets-157587720113,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-jp3691hd,hwrc-trans-02,1,,,1,https://www.eventbrite.co.uk/e/brunel-road-hwrc-van-booking-free-service-tickets-157587720113,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-jp3691hd,hwrc-trans-03,1,,,1,https://www.eventbrite.co.uk/e/brunel-road-hwrc-van-booking-free-service-tickets-157587720113,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-jp3691hd,hwrc-trans-04,1,,,1,https://www.eventbrite.co.uk/e/brunel-road-hwrc-van-booking-free-service-tickets-157587720113,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-jp3691hd,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-eb3738rg,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-eb3738rg,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-eb3738rg,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-eb3738rg,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-eb3738rg,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-jb3107lz,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-jb3107lz,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-jb3107lz,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-jb3107lz,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
