Id,HWRC,transportType,accessAllowed,openingHours,permitRequired,bookingRequired,bookingURL,maxHeight,maxLength,maxWidth,maxWeight,trailerCombinedWith,dateUpdated
,hwrc-eng-dev-cb3309me,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-cb3309me,trailer,1,,,,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-dev-cb3309me,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-hp3491hn,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-hp3491hn,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-hp3491hn,trailer,1,,,,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-dev-hp3491hn,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-pp3591hp,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-pp3591hp,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-pp3591hp,trailer,1,,,,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-dev-pp3591hp,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-hp3991hp,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-hp3991hp,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-hp3991hp,trailer,1,,,,,,1.8 m,,,small vehicle,4/10/2021
,hwrc-eng-dev-hp3991hp,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-jp3991hs,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-jp3991hs,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-jp3991hs,trailer,1,,,,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-dev-jp3991hs,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-ap3796ed,small vehicle,1,,,,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-ap3796ed,large vehicle,1,,,1,https://www.devon.gov.uk/wasteandrecycling/recycling-centres/site-user-restrictions/,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-ap3796ed,trailer,1,,,1,https://www.devon.gov.uk/wasteandrecycling/recycling-centres/site-user-restrictions/,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-dev-ap3796ed,pedestrian,1,,,,,,,,,,24/09/2021
,hwrc-eng-dev-eb3739rt,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
